,Wind Farm,Region,Power per Turbine (MW),No. Turbines Installed,Installed Capacity (MW),Year Online,Developer,Operator,Owner,Country,lat,long,Wind Farm count,Turbine Manufacturer,Turbine Model,State
125,Aikengall,East Lothian,3,16,48,2009,Community Windpower,Community Windpower,Community Windpower,Scotland,55.92667,-2.45778,1,Vestas,V90,United Kingdom
126,Dalry,North Ayrshire,3,6,18,2006,Community Windpower,Community Windpower,Community Windpower,Scotland,55.71056,-4.72333,1,Vestas,V90,United Kingdom
127,Millour Hill Extension,North Ayrshire,3.2,2,6.4,2016,Community Windpower,Community Windpower,Community Windpower,Scotland,55.74139,-4.78222,1,not reported,not reported,United Kingdom
128,Millour Hill,North Ayrshire,3,6,18,2012,Community Windpower,Community Windpower,Community Windpower,Scotland,55.74139,-4.78222,1,not reported,not reported,United Kingdom
129,Calder Water,South Lanarkshire,3,13,39,2013,Community Windpower,Community Windpower,Community Windpower,Scotland,55.64444,-4.20917,1,not reported,not reported,United Kingdom
130,Aikengall IIa,East Lothian and Scottish Borders,4.3,19,81.7,2021,Community Windpower,Community Windpower,Community Windpower,Scotland,55.89917,-2.46194,1,Gamesa,SWT-DD-120,United Kingdom
131,Aikengall II,East Lothian,3.2,19,60.8,2017,Community Windpower,Community Windpower,Community Windpower,Scotland,55.89917,-2.46194,1,not reported,not reported,United Kingdom
132,Sanquhar,Dumfries & Galloway,3.6,9,31.05,2018,Community Windpower,Community Windpower,Community Windpower,Scotland,55.34444,-4.04028,1,Vestas,V112,United Kingdom
133,Boyndie Airfield,Aberdeenshire,2,7,14,2006,RDC,Falck Renewables,Falck Renewables,Scotland,57.64639,-2.60472,1,Enercon,E82,United Kingdom
134,Boyndie Airfield Extension,Aberdeenshire,2.3,1,2.3,2010,RDC,Falck Renewables,Falck Renewables,Scotland,57.64639,-2.60472,1,Enercon,E70,United Kingdom
135,Cairnmore,Aberdeenshire,0.85,3,2.55,2010,Greenspan Electric Cairnmore Ltd,not reported,not reported,Scotland,57.30833,-2.825,1,Vestas,V52,United Kingdom
136,Dummuie,Aberdeenshire,1.75,7,10.4,2007,Eco2,Eco2,Englefield Renewable Energy Fund,Scotland,57.41278,-2.72833,1,Vestas,V66,United Kingdom
137,Glens of Foudland,Aberdeenshire,1.3,20,26,2005,RES,not reported,Centrica Renewable Energy Ltd,Scotland,57.42444,-2.64278,1,Bonus,B1300,United Kingdom
138,Hill of Balquhindachy (Extension),Aberdeenshire,0.85,2,1.7,2009,Grant Mackie,not reported,Greenspan Energy,Scotland,57.47306,-2.23861,1,Vestas,V52,United Kingdom
139,Hill of Eastertown,Aberdeenshire,0.85,3,2.55,2007,not reported,not reported,Mackies Icecream Factories,Scotland,57.3725,-2.40194,1,Vestas,V52,United Kingdom
140,Hill of Fiddes,Aberdeenshire,2.3,3,6.9,2010,Broadview Energy,not reported,not reported,Scotland,57.31556,-2.11444,1,Enercon,E70,United Kingdom
141,Hill of Skelmonae,Aberdeenshire,0.8,4,3.2,2009,not reported,not reported,not reported,Scotland,57.44889,-2.18917,1,Enercon,E48,United Kingdom
142,House O Hill,Aberdeenshire,0.8,3,2.4,2010,not reported,not reported,not reported,Scotland,57.61722,-2.04083,1,Enercon,E48,United Kingdom
143,North Redbog,Aberdeenshire,0.8,2,1.6,2008,Redbog Renewables Ltd.,Enercon,Redbog Renewables Ltd,Scotland,57.58583,-2.00583,1,Enercon,E48,United Kingdom
144,St John's Wells,Aberdeenshire,0.8,3,2.4,2009,St John's Wells Wind Farm Limited,not reported,not reported,Scotland,57.42278,-2.33444,1,Enercon,E48,United Kingdom
145,Strath of Brydock,Aberdeenshire,2.3,2,4.6,2009,A.J. Duncan,not reported,not reported,Scotland,57.62917,-2.58528,1,Enercon,E70,United Kingdom
146,Tullo,Aberdeenshire,2.5,7,17.5,2010,not reported,Eneco,Eneco,Scotland,56.83528,-2.39972,1,Nordex,N80,United Kingdom
147,Twinshiels,Aberdeenshire,2.5,10,25,2014,not reported,Eneco,Eneco,Scotland,56.843242,-2.398279,1,Nordex,N80,United Kingdom
148,Upper Ardgrain,Aberdeenshire,0.8,3,2.4,2010,not reported,not reported,not reported,Scotland,57.40056,-2.0675,1,Enercon,E48,United Kingdom
149,Ardkinglas/ Clachan Flats,Argyll & Bute,1.67,9,15.03,2009,Scottish Power,not reported,Iberdrola,Scotland,56.28778,-4.94861,1,Ecotecnia,74,United Kingdom
150,Beinn an Tuirc,Argyll & Bute,0.66,46,30,2001,Scottish Power,B9 Energy,Scottish Power,Scotland,55.56556,-5.57,1,Vestas,V47,United Kingdom
151,Beinn Ghlas,Argyll & Bute,0.6,14,8.4,1999,npower renewables,Innogy,Beaufort Wind Limited,Scotland,56.38306,-5.27222,1,Bonus,B600,United Kingdom
152,Cruach Mhor,Argyll & Bute,0.85,35,29.75,2004,Scottish Power,B9 Energy,Scottish Power,Scotland,56.04,-5.15611,1,Vestas,V52,United Kingdom
153,Deucheran Hill,Argyll & Bute,1.75,9,15.75,2001,E.ON UK Renewables,B9 Energy,E.ON Renewables,Scotland,55.62889,-5.55972,1,Vestas,V66,United Kingdom
154,Tangy,Argyll & Bute,0.85,22,18.65,2002,SSE plc,SSE plc,SSE plc,Scotland,55.49389,-5.67917,1,Vestas,V52,United Kingdom
155,Artfield Fell,Dumfries & Galloway,1.3,15,19.5,2005,SSE plc,SSE plc,SSE plc,Scotland,54.96611,-4.76639,1,Siemens,SWT-1.3,United Kingdom
156,Craig Wind Farm,Dumfries & Galloway,2.5,4,10,2007,Craig Wind Farm Co,Craig Wind Farm Company,Craig Wind Farm Company,Scotland,55.21278,-3.10944,1,Nordex,N80,United Kingdom
157,"Dalswinton, Pennyland Moor",Dumfries & Galloway,2,15,30,2008,Airtricity,not reported,Airtricity,Scotland,55.17028,-3.67361,1,REpower,MM82,United Kingdom
158,Minsca,Dumfries & Galloway,2.3,16,36.8,2008,Airtricity,not reported,Airtricity,Scotland,55.11278,-3.21639,1,Siemens,SWT-2.3,United Kingdom
159,North Rhins,Dumfries & Galloway,2,11,22,2010,Wind Energy (North Rhins) Ltd,not reported,AES Wind Generation,Scotland,54.88194,-5.08333,1,Vestas,V80,United Kingdom
160,Wether Hill,Dumfries & Galloway,1.3,14,18.2,2007,Scottish Power,not reported,Scottish Power,Scotland,55.22222,-4.04167,1,Siemens,SWT-1.3,United Kingdom
